 Nascidos vivos - Rio Grande do Sul;
Nascim p/resid.mãe por Região de Saúde/Município;
Período:2017;
Região de Saúde/Município;Nascim_p/resid.mãe
43001 Região 01 - Verdes Campos;5289
.....  JULIO DE CASTILHOS;241
.....  NOVA PALMA;67
.....  SAO PEDRO DO SUL;153
.....  SAO MARTINHO DA SERRA;32
.....  DILERMANDO DE AGUIAR;24
.....  SANTA MARIA;3509
.....  PARAISO DO SUL;58
.....  SAO SEPE;259
.....  VILA NOVA DO SUL;28
.....  RESTINGA SECA;159
.....  ITAARA;57
.....  QUEVEDOS;22
.....  PINHAL GRANDE;47
.....  TUPANCIRETA;243
.....  TOROPI;27
.....  SILVEIRA MARTINS;22
.....  SAO JOAO DO POLESINE;29
.....  FAXINAL DO SOTURNO;56
.....  DONA FRANCISCA;25
.....  FORMIGUEIRO;69
.....  AGUDO;150
.....  IVORA;12
43002 Região 02 - Entre Rios;1237
.....  SANTIAGO;572
.....  MATA;44
.....  JARI;35
.....  CACEQUI;98
.....  NOVA ESPERANCA DO SUL;52
.....  UNISTALDA;29
.....  ITACURUBI;24
.....  SAO VICENTE DO SUL;92
.....  CAPAO DO CIPO;28
.....  JAGUARI;85
.....  SAO FRANCISCO DE ASSIS;178
43003 Região 03 - Fronteira Oeste;6109
.....  MACAMBARA;47
.....  ROSARIO DO SUL;462
.....  SANTA MARGARIDA DO SUL;17
.....  QUARAI;324
.....  ALEGRETE;888
.....  BARRA DO QUARAI;53
.....  ITAQUI;551
.....  SAO GABRIEL;802
.....  SANT'ANA DO LIVRAMENTO;1099
.....  MANOEL VIANA;72
.....  URUGUAIANA;1794
43004 Região 04 - Belas Praias;2317
.....  MAMPITUBA;33
.....  TRES FORQUILHAS;26
.....  MAQUINE;74
.....  DOM PEDRO DE ALCANTARA;21
.....  ARROIO DO SAL;118
.....  TRES CACHOEIRAS;130
.....  CAPAO DA CANOA;895
.....  TORRES;557
.....  XANGRI-LA;287
.....  ITATI;23
.....  MORRINHOS DO SUL;33
.....  TERRA DE AREIA;120
43005 Região 05 - Bons Ventos;3015
.....  CARAA;54
.....  CIDREIRA;201
.....  IMBE;296
.....  MOSTARDAS;139
.....  OSORIO;618
.....  TRAMANDAI;856
.....  SANTO ANTONIO DA PATRULHA;450
.....  BALNEARIO PINHAL;153
.....  PALMARES DO SUL;147
.....  CAPIVARI DO SUL;52
.....  TAVARES;49
43006 Região 06 - Vale do Paranhana e Costa Serra;2837
.....  PAROBE;740
.....  ROLANTE;256
.....  SAO FRANCISCO DE PAULA;275
.....  RIOZINHO;45
.....  CAMBARA DO SUL;45
.....  TRES COROAS;292
.....  IGREJINHA;518
.....  TAQUARA;666
43007 Região 07 - Vale dos Sinos;10628
.....  DOIS IRMAOS;396
.....  CAMPO BOM;904
.....  SAPIRANGA;1198
.....  SAO LEOPOLDO;2981
.....  LINDOLFO COLLOR;75
.....  SAO JOSE DO HORTENCIO;42
.....  MORRO REUTER;59
.....  NOVA HARTZ;257
.....  SANTA MARIA DO HERVAL;58
.....  ESTANCIA VELHA;655
.....  PRESIDENTE LUCENA;38
.....  PORTAO;393
.....  NOVO HAMBURGO;3213
.....  ARARICA;88
.....  IVOTI;271
43008 Região 08 - Vale do Caí e Metropolitana;10578
.....  MONTENEGRO;975
.....  TRIUNFO;340
.....  TUPANDI;56
.....  SAPUCAIA DO SUL;1855
.....  CANOAS;4991
.....  SAO PEDRO DA SERRA;42
.....  CAPELA DE SANTANA;127
.....  BROCHIER;50
.....  TABAI;77
.....  MARATA;20
.....  SAO SEBASTIAO DO CAI;303
.....  SALVADOR DO SUL;85
.....  HARMONIA;45
.....  PARECI NOVO;46
.....  SAO JOSE DO SUL;22
.....  ESTEIO;1106
.....  NOVA SANTA RITA;387
.....  BARAO;51
43009 Região 09 - Carbonífera/Costa Doce;4991
.....  CAMAQUA;786
.....  BUTIA;243
.....  ARAMBARE;41
.....  BARAO DO TRIUNFO;73
.....  MARIANA PIMENTEL;34
.....  TAPES;201
.....  SERTAO SANTANA;76
.....  GENERAL CAMARA;90
.....  GUAIBA;1332
.....  ARROIO DOS RATOS;169
.....  BARRA DO RIBEIRO;163
.....  SENTINELA DO SUL;52
.....  CHUVISCA;49
.....  MINAS DO LEAO;95
.....  CRISTAL;82
.....  SAO JERONIMO;290
.....  DOM FELICIANO;150
.....  CHARQUEADAS;367
.....  ELDORADO DO SUL;571
.....  CERRO GRANDE DO SUL;127
43010 Região 10 - Capital e Vale do Gravataí;30469
.....  GLORINHA;103
.....  PORTO ALEGRE;18490
.....  CACHOEIRINHA;1894
.....  VIAMAO;3137
.....  GRAVATAI;3582
.....  ALVORADA;3263
43011 Região 11 - Sete Povos das Missões;3466
.....  VITORIA DAS MISSOES;34
.....  UBIRETAMA;13
.....  ENTRE-IJUIS;97
.....  SANTO ANGELO;1062
.....  MATO QUEIMADO;15
.....  ROLADOR;15
.....  SAO LUIZ GONZAGA;436
.....  CAIBATE;67
.....  CERRO LARGO;150
.....  BOSSOROCA;54
.....  SAO BORJA;823
.....  GARRUCHOS;24
.....  SAO NICOLAU;59
.....  SAO MIGUEL DAS MISSOES;90
.....  SALVADOR DAS MISSOES;28
.....  SETE DE SETEMBRO;17
.....  SANTO ANTONIO DAS MISSOES;109
