 Nascidos vivos - Rio Grande do Sul;
Nascim p/resid.mãe por Região de Saúde/Município;
Período:2019;
Região de Saúde/Município;Nascim_p/resid.mãe
43001 Região 01 - Verdes Campos;5275
.....  JULIO DE CASTILHOS;236
.....  NOVA PALMA;57
.....  SAO PEDRO DO SUL;181
.....  SAO MARTINHO DA SERRA;29
.....  DILERMANDO DE AGUIAR;20
.....  SANTA MARIA;3454
.....  PARAISO DO SUL;56
.....  SAO SEPE;247
.....  VILA NOVA DO SUL;31
.....  RESTINGA SECA;166
.....  ITAARA;64
.....  QUEVEDOS;24
.....  PINHAL GRANDE;32
.....  TUPANCIRETA;244
.....  TOROPI;20
.....  SILVEIRA MARTINS;9
.....  SAO JOAO DO POLESINE;28
.....  FAXINAL DO SOTURNO;72
.....  DONA FRANCISCA;38
.....  FORMIGUEIRO;88
.....  AGUDO;165
.....  IVORA;14
43002 Região 02 - Entre Rios;1241
.....  SANTIAGO;595
.....  MATA;48
.....  JARI;40
.....  CACEQUI;118
.....  NOVA ESPERANCA DO SUL;45
.....  UNISTALDA;28
.....  ITACURUBI;23
.....  SAO VICENTE DO SUL;79
.....  CAPAO DO CIPO;20
.....  JAGUARI;71
.....  SAO FRANCISCO DE ASSIS;174
43003 Região 03 - Fronteira Oeste;5838
.....  MACAMBARA;57
.....  ROSARIO DO SUL;485
.....  SANTA MARGARIDA DO SUL;23
.....  QUARAI;256
.....  ALEGRETE;828
.....  BARRA DO QUARAI;40
.....  ITAQUI;489
.....  SAO GABRIEL;792
.....  SANT'ANA DO LIVRAMENTO;1080
.....  MANOEL VIANA;65
.....  URUGUAIANA;1723
43004 Região 04 - Belas Praias;2273
.....  MAMPITUBA;42
.....  TRES FORQUILHAS;27
.....  MAQUINE;67
.....  DOM PEDRO DE ALCANTARA;31
.....  ARROIO DO SAL;100
.....  TRES CACHOEIRAS;135
.....  CAPAO DA CANOA;874
.....  TORRES;568
.....  XANGRI-LA;246
.....  ITATI;28
.....  MORRINHOS DO SUL;24
.....  TERRA DE AREIA;131
43005 Região 05 - Bons Ventos;2864
.....  CARAA;63
.....  CIDREIRA;202
.....  IMBE;289
.....  MOSTARDAS;146
.....  OSORIO;579
.....  TRAMANDAI;761
.....  SANTO ANTONIO DA PATRULHA;443
.....  BALNEARIO PINHAL;151
.....  PALMARES DO SUL;128
.....  CAPIVARI DO SUL;53
.....  TAVARES;49
43006 Região 06 - Vale do Paranhana e Costa Serra;2842
.....  PAROBE;754
.....  ROLANTE;258
.....  SAO FRANCISCO DE PAULA;269
.....  RIOZINHO;49
.....  CAMBARA DO SUL;74
.....  TRES COROAS;312
.....  IGREJINHA;489
.....  TAQUARA;637
43007 Região 07 - Vale dos Sinos;9824
.....  DOIS IRMAOS;359
.....  CAMPO BOM;782
.....  SAPIRANGA;1174
.....  SAO LEOPOLDO;2710
.....  LINDOLFO COLLOR;69
.....  SAO JOSE DO HORTENCIO;40
.....  MORRO REUTER;61
.....  NOVA HARTZ;243
.....  SANTA MARIA DO HERVAL;53
.....  ESTANCIA VELHA;552
.....  PRESIDENTE LUCENA;24
.....  PORTAO;344
.....  NOVO HAMBURGO;3085
.....  ARARICA;89
.....  IVOTI;239
43008 Região 08 - Vale do Caí e Metropolitana;9951
.....  MONTENEGRO;873
.....  TRIUNFO;341
.....  TUPANDI;76
.....  SAPUCAIA DO SUL;1551
.....  CANOAS;4828
.....  SAO PEDRO DA SERRA;31
.....  CAPELA DE SANTANA;129
.....  BROCHIER;46
.....  TABAI;51
.....  MARATA;26
.....  SAO SEBASTIAO DO CAI;298
.....  SALVADOR DO SUL;73
.....  HARMONIA;65
.....  PARECI NOVO;52
.....  SAO JOSE DO SUL;29
.....  ESTEIO;1062
.....  NOVA SANTA RITA;363
.....  BARAO;57
43009 Região 09 - Carbonífera/Costa Doce;4678
.....  CAMAQUA;856
.....  BUTIA;233
.....  ARAMBARE;46
.....  BARAO DO TRIUNFO;38
.....  MARIANA PIMENTEL;33
.....  TAPES;144
.....  SERTAO SANTANA;47
.....  GENERAL CAMARA;82
.....  GUAIBA;1160
.....  ARROIO DOS RATOS;165
.....  BARRA DO RIBEIRO;151
.....  SENTINELA DO SUL;40
.....  CHUVISCA;61
.....  MINAS DO LEAO;99
.....  CRISTAL;85
.....  SAO JERONIMO;294
.....  DOM FELICIANO;157
.....  CHARQUEADAS;346
.....  ELDORADO DO SUL;522
.....  CERRO GRANDE DO SUL;119
43010 Região 10 - Capital e Vale do Gravataí;27115
.....  GLORINHA;97
.....  PORTO ALEGRE;16520
.....  CACHOEIRINHA;1673
.....  VIAMAO;2739
.....  GRAVATAI;3322
.....  ALVORADA;2764
43011 Região 11 - Sete Povos das Missões;3505
.....  VITORIA DAS MISSOES;33
.....  UBIRETAMA;14
.....  ENTRE-IJUIS;108
.....  SANTO ANGELO;1098
.....  MATO QUEIMADO;14
.....  ROLADOR;17
.....  SAO LUIZ GONZAGA;521
.....  CAIBATE;53
.....  CERRO LARGO;114
.....  BOSSOROCA;63
.....  SAO BORJA;812
.....  GARRUCHOS;23
.....  SAO NICOLAU;54
.....  SAO MIGUEL DAS MISSOES;73
.....  SALVADOR DAS MISSOES;20
.....  SETE DE SETEMBRO;19
.....  SANTO ANTONIO DAS MISSOES;108
