 Nascidos vivos - Rio Grande do Sul;
Nascim p/resid.mãe por Região de Saúde/Município;
Período:2022;
Região de Saúde/Município;Nascim_p/resid.mãe
43001 Região 01 - Verdes Campos;4585
.....  JULIO DE CASTILHOS;169
.....  NOVA PALMA;48
.....  SAO PEDRO DO SUL;172
.....  SAO MARTINHO DA SERRA;30
.....  DILERMANDO DE AGUIAR;24
.....  SANTA MARIA;2993
.....  PARAISO DO SUL;52
.....  SAO SEPE;228
.....  VILA NOVA DO SUL;30
.....  RESTINGA SECA;142
.....  ITAARA;54
.....  QUEVEDOS;24
.....  PINHAL GRANDE;22
.....  TUPANCIRETA;228
.....  TOROPI;20
.....  SILVEIRA MARTINS;16
.....  SAO JOAO DO POLESINE;26
.....  FAXINAL DO SOTURNO;71
.....  DONA FRANCISCA;21
.....  FORMIGUEIRO;55
.....  AGUDO;148
.....  IVORA;12
43002 Região 02 - Entre Rios;1140
.....  SANTIAGO;532
.....  MATA;38
.....  JARI;27
.....  CACEQUI;97
.....  NOVA ESPERANCA DO SUL;50
.....  UNISTALDA;18
.....  ITACURUBI;26
.....  SAO VICENTE DO SUL;89
.....  CAPAO DO CIPO;43
.....  JAGUARI;80
.....  SAO FRANCISCO DE ASSIS;140
43003 Região 03 - Fronteira Oeste;5078
.....  MACAMBARA;59
.....  ROSARIO DO SUL;415
.....  SANTA MARGARIDA DO SUL;9
.....  QUARAI;253
.....  ALEGRETE;745
.....  BARRA DO QUARAI;42
.....  ITAQUI;422
.....  SAO GABRIEL;698
.....  SANT'ANA DO LIVRAMENTO;893
.....  MANOEL VIANA;73
.....  URUGUAIANA;1469
43004 Região 04 - Belas Praias;2228
.....  MAMPITUBA;25
.....  TRES FORQUILHAS;34
.....  MAQUINE;65
.....  DOM PEDRO DE ALCANTARA;28
.....  ARROIO DO SAL;125
.....  TRES CACHOEIRAS;137
.....  CAPAO DA CANOA;908
.....  TORRES;518
.....  XANGRI-LA;206
.....  ITATI;25
.....  MORRINHOS DO SUL;34
.....  TERRA DE AREIA;123
43005 Região 05 - Bons Ventos;2662
.....  CARAA;60
.....  CIDREIRA;166
.....  IMBE;255
.....  MOSTARDAS;128
.....  OSORIO;551
.....  TRAMANDAI;747
.....  SANTO ANTONIO DA PATRULHA;402
.....  BALNEARIO PINHAL;143
.....  PALMARES DO SUL;121
.....  CAPIVARI DO SUL;48
.....  TAVARES;41
43006 Região 06 - Vale do Paranhana e Costa Serra;2764
.....  PAROBE;755
.....  ROLANTE;265
.....  SAO FRANCISCO DE PAULA;261
.....  RIOZINHO;46
.....  CAMBARA DO SUL;80
.....  TRES COROAS;248
.....  IGREJINHA;484
.....  TAQUARA;625
43007 Região 07 - Vale dos Sinos;9102
.....  DOIS IRMAOS;356
.....  CAMPO BOM;707
.....  SAPIRANGA;1070
.....  SAO LEOPOLDO;2500
.....  LINDOLFO COLLOR;84
.....  SAO JOSE DO HORTENCIO;29
.....  MORRO REUTER;80
.....  NOVA HARTZ;257
.....  SANTA MARIA DO HERVAL;49
.....  ESTANCIA VELHA;465
.....  PRESIDENTE LUCENA;46
.....  PORTAO;415
.....  NOVO HAMBURGO;2730
.....  ARARICA;86
.....  IVOTI;228
43008 Região 08 - Vale do Caí e Metropolitana;8799
.....  MONTENEGRO;849
.....  TRIUNFO;290
.....  TUPANDI;73
.....  SAPUCAIA DO SUL;1433
.....  CANOAS;4023
.....  SAO PEDRO DA SERRA;40
.....  CAPELA DE SANTANA;146
.....  BROCHIER;44
.....  TABAI;61
.....  MARATA;19
.....  SAO SEBASTIAO DO CAI;275
.....  SALVADOR DO SUL;77
.....  HARMONIA;61
.....  PARECI NOVO;53
.....  SAO JOSE DO SUL;28
.....  ESTEIO;884
.....  NOVA SANTA RITA;382
.....  BARAO;61
43009 Região 09 - Carbonífera/Costa Doce;4008
.....  CAMAQUA;750
.....  BUTIA;196
.....  ARAMBARE;37
.....  BARAO DO TRIUNFO;51
.....  MARIANA PIMENTEL;36
.....  TAPES;149
.....  SERTAO SANTANA;64
.....  GENERAL CAMARA;66
.....  GUAIBA;922
.....  ARROIO DOS RATOS;127
.....  BARRA DO RIBEIRO;131
.....  SENTINELA DO SUL;46
.....  CHUVISCA;52
.....  MINAS DO LEAO;83
.....  CRISTAL;79
.....  SAO JERONIMO;236
.....  DOM FELICIANO;129
.....  CHARQUEADAS;301
.....  ELDORADO DO SUL;458
.....  CERRO GRANDE DO SUL;95
43010 Região 10 - Capital e Vale do Gravataí;22537
.....  GLORINHA;75
.....  PORTO ALEGRE;13679
.....  CACHOEIRINHA;1511
.....  VIAMAO;2166
.....  GRAVATAI;2870
.....  ALVORADA;2236
43011 Região 11 - Sete Povos das Missões;3089
.....  VITORIA DAS MISSOES;33
.....  UBIRETAMA;18
.....  ENTRE-IJUIS;98
.....  SANTO ANGELO;935
.....  MATO QUEIMADO;15
.....  ROLADOR;19
.....  SAO LUIZ GONZAGA;459
.....  CAIBATE;42
.....  CERRO LARGO;138
.....  BOSSOROCA;62
.....  SAO BORJA;662
.....  GARRUCHOS;24
.....  SAO NICOLAU;46
.....  SAO MIGUEL DAS MISSOES;84
.....  SALVADOR DAS MISSOES;38
.....  SETE DE SETEMBRO;19
.....  SANTO ANTONIO DAS MISSOES;87
