 Nascidos vivos - Rio Grande do Sul;
Nascim p/resid.mãe por Região de Saúde/Município;
Período:2023;
Região de Saúde/Município;Nascim_p/resid.mãe
43001 Região 01 - Verdes Campos;4648
.....  JULIO DE CASTILHOS;201
.....  NOVA PALMA;61
.....  SAO PEDRO DO SUL;151
.....  SAO MARTINHO DA SERRA;23
.....  DILERMANDO DE AGUIAR;30
.....  SANTA MARIA;2999
.....  PARAISO DO SUL;51
.....  SAO SEPE;210
.....  VILA NOVA DO SUL;27
.....  RESTINGA SECA;139
.....  ITAARA;63
.....  QUEVEDOS;24
.....  PINHAL GRANDE;34
.....  TUPANCIRETA;216
.....  TOROPI;17
.....  SILVEIRA MARTINS;19
.....  SAO JOAO DO POLESINE;29
.....  FAXINAL DO SOTURNO;73
.....  DONA FRANCISCA;27
.....  FORMIGUEIRO;60
.....  AGUDO;183
.....  IVORA;11
43002 Região 02 - Entre Rios;1108
.....  SANTIAGO;512
.....  MATA;43
.....  JARI;31
.....  CACEQUI;96
.....  NOVA ESPERANCA DO SUL;48
.....  UNISTALDA;17
.....  ITACURUBI;22
.....  SAO VICENTE DO SUL;88
.....  CAPAO DO CIPO;28
.....  JAGUARI;76
.....  SAO FRANCISCO DE ASSIS;147
43003 Região 03 - Fronteira Oeste;5063
.....  MACAMBARA;52
.....  ROSARIO DO SUL;417
.....  SANTA MARGARIDA DO SUL;14
.....  QUARAI;228
.....  ALEGRETE;754
.....  BARRA DO QUARAI;39
.....  ITAQUI;401
.....  SAO GABRIEL;711
.....  SANT'ANA DO LIVRAMENTO;935
.....  MANOEL VIANA;78
.....  URUGUAIANA;1434
43004 Região 04 - Belas Praias;2155
.....  MAMPITUBA;26
.....  TRES FORQUILHAS;28
.....  MAQUINE;85
.....  DOM PEDRO DE ALCANTARA;27
.....  ARROIO DO SAL;130
.....  TRES CACHOEIRAS;130
.....  CAPAO DA CANOA;851
.....  TORRES;499
.....  XANGRI-LA;197
.....  ITATI;27
.....  MORRINHOS DO SUL;34
.....  TERRA DE AREIA;121
43005 Região 05 - Bons Ventos;2716
.....  CARAA;50
.....  CIDREIRA;165
.....  IMBE;267
.....  MOSTARDAS;134
.....  OSORIO;578
.....  TRAMANDAI;714
.....  SANTO ANTONIO DA PATRULHA;445
.....  BALNEARIO PINHAL;128
.....  PALMARES DO SUL;124
.....  CAPIVARI DO SUL;45
.....  TAVARES;66
43006 Região 06 - Vale do Paranhana e Costa Serra;2696
.....  PAROBE;790
.....  ROLANTE;272
.....  SAO FRANCISCO DE PAULA;257
.....  RIOZINHO;40
.....  CAMBARA DO SUL;68
.....  TRES COROAS;231
.....  IGREJINHA;448
.....  TAQUARA;590
43007 Região 07 - Vale dos Sinos;8898
.....  DOIS IRMAOS;347
.....  CAMPO BOM;684
.....  SAPIRANGA;1049
.....  SAO LEOPOLDO;2456
.....  LINDOLFO COLLOR;77
.....  SAO JOSE DO HORTENCIO;38
.....  MORRO REUTER;51
.....  NOVA HARTZ;242
.....  SANTA MARIA DO HERVAL;48
.....  ESTANCIA VELHA;484
.....  PRESIDENTE LUCENA;33
.....  PORTAO;312
.....  NOVO HAMBURGO;2703
.....  ARARICA;106
.....  IVOTI;268
43008 Região 08 - Vale do Caí e Metropolitana;8538
.....  MONTENEGRO;815
.....  TRIUNFO;290
.....  TUPANDI;55
.....  SAPUCAIA DO SUL;1394
.....  CANOAS;3975
.....  SAO PEDRO DA SERRA;43
.....  CAPELA DE SANTANA;121
.....  BROCHIER;52
.....  TABAI;58
.....  MARATA;23
.....  SAO SEBASTIAO DO CAI;260
.....  SALVADOR DO SUL;83
.....  HARMONIA;58
.....  PARECI NOVO;50
.....  SAO JOSE DO SUL;29
.....  ESTEIO;805
.....  NOVA SANTA RITA;359
.....  BARAO;68
43009 Região 09 - Carbonífera/Costa Doce;4046
.....  CAMAQUA;671
.....  BUTIA;194
.....  ARAMBARE;39
.....  BARAO DO TRIUNFO;42
.....  MARIANA PIMENTEL;36
.....  TAPES;149
.....  SERTAO SANTANA;50
.....  GENERAL CAMARA;61
.....  GUAIBA;1023
.....  ARROIO DOS RATOS;138
.....  BARRA DO RIBEIRO;123
.....  SENTINELA DO SUL;33
.....  CHUVISCA;54
.....  MINAS DO LEAO;102
.....  CRISTAL;77
.....  SAO JERONIMO;226
.....  DOM FELICIANO;148
.....  CHARQUEADAS;306
.....  ELDORADO DO SUL;454
.....  CERRO GRANDE DO SUL;120
43010 Região 10 - Capital e Vale do Gravataí;22143
.....  GLORINHA;84
.....  PORTO ALEGRE;13663
.....  CACHOEIRINHA;1479
.....  VIAMAO;2084
.....  GRAVATAI;2702
.....  ALVORADA;2131
43011 Região 11 - Sete Povos das Missões;3182
.....  VITORIA DAS MISSOES;28
.....  UBIRETAMA;15
.....  ENTRE-IJUIS;96
.....  SANTO ANGELO;990
.....  MATO QUEIMADO;21
.....  ROLADOR;17
.....  SAO LUIZ GONZAGA;427
.....  CAIBATE;48
.....  CERRO LARGO;149
.....  BOSSOROCA;57
.....  SAO BORJA;718
.....  GARRUCHOS;23
.....  SAO NICOLAU;61
.....  SAO MIGUEL DAS MISSOES;101
.....  SALVADOR DAS MISSOES;35
.....  SETE DE SETEMBRO;18
.....  SANTO ANTONIO DAS MISSOES;85
