 Nascidos vivos - Rio Grande do Sul;
Nascim p/resid.mãe por Região de Saúde/Município;
Período:2013;
Região de Saúde/Município;Nascim_p/resid.mãe
43001 Região 01 - Verdes Campos;5296
.....  JULIO DE CASTILHOS;252
.....  NOVA PALMA;69
.....  SAO PEDRO DO SUL;159
.....  SAO MARTINHO DA SERRA;31
.....  DILERMANDO DE AGUIAR;24
.....  SANTA MARIA;3441
.....  PARAISO DO SUL;64
.....  SAO SEPE;254
.....  VILA NOVA DO SUL;31
.....  RESTINGA SECA;167
.....  ITAARA;56
.....  QUEVEDOS;24
.....  PINHAL GRANDE;39
.....  TUPANCIRETA;271
.....  TOROPI;17
.....  SILVEIRA MARTINS;29
.....  SAO JOAO DO POLESINE;21
.....  FAXINAL DO SOTURNO;57
.....  DONA FRANCISCA;30
.....  FORMIGUEIRO;61
.....  AGUDO;180
.....  IVORA;19
43002 Região 02 - Entre Rios;1330
.....  SANTIAGO;586
.....  MATA;43
.....  JARI;34
.....  CACEQUI;130
.....  NOVA ESPERANCA DO SUL;47
.....  UNISTALDA;26
.....  ITACURUBI;42
.....  SAO VICENTE DO SUL;101
.....  CAPAO DO CIPO;32
.....  JAGUARI;112
.....  SAO FRANCISCO DE ASSIS;177
43003 Região 03 - Fronteira Oeste;6106
.....  MACAMBARA;39
.....  ROSARIO DO SUL;421
.....  SANTA MARGARIDA DO SUL;26
.....  QUARAI;284
.....  ALEGRETE;935
.....  BARRA DO QUARAI;40
.....  ITAQUI;556
.....  SAO GABRIEL;774
.....  SANT'ANA DO LIVRAMENTO;1049
.....  MANOEL VIANA;73
.....  URUGUAIANA;1909
43004 Região 04 - Belas Praias;1988
.....  MAMPITUBA;29
.....  TRES FORQUILHAS;34
.....  MAQUINE;52
.....  DOM PEDRO DE ALCANTARA;10
.....  ARROIO DO SAL;96
.....  TRES CACHOEIRAS;106
.....  CAPAO DA CANOA;813
.....  TORRES;464
.....  XANGRI-LA;226
.....  ITATI;18
.....  MORRINHOS DO SUL;25
.....  TERRA DE AREIA;115
43005 Região 05 - Bons Ventos;2808
.....  CARAA;66
.....  CIDREIRA;164
.....  IMBE;271
.....  MOSTARDAS;113
.....  OSORIO;596
.....  TRAMANDAI;758
.....  SANTO ANTONIO DA PATRULHA;461
.....  BALNEARIO PINHAL;152
.....  PALMARES DO SUL;128
.....  CAPIVARI DO SUL;45
.....  TAVARES;54
43006 Região 06 - Vale do Paranhana e Costa Serra;2960
.....  PAROBE;760
.....  ROLANTE;246
.....  SAO FRANCISCO DE PAULA;264
.....  RIOZINHO;48
.....  CAMBARA DO SUL;69
.....  TRES COROAS;318
.....  IGREJINHA;494
.....  TAQUARA;761
43007 Região 07 - Vale dos Sinos;10474
.....  DOIS IRMAOS;353
.....  CAMPO BOM;811
.....  SAPIRANGA;1114
.....  SAO LEOPOLDO;3090
.....  LINDOLFO COLLOR;73
.....  SAO JOSE DO HORTENCIO;47
.....  MORRO REUTER;62
.....  NOVA HARTZ;270
.....  SANTA MARIA DO HERVAL;51
.....  ESTANCIA VELHA;647
.....  PRESIDENTE LUCENA;30
.....  PORTAO;394
.....  NOVO HAMBURGO;3173
.....  ARARICA;82
.....  IVOTI;277
43008 Região 08 - Vale do Caí e Metropolitana;10849
.....  MONTENEGRO;895
.....  TRIUNFO;367
.....  TUPANDI;44
.....  SAPUCAIA DO SUL;1912
.....  CANOAS;5335
.....  SAO PEDRO DA SERRA;46
.....  CAPELA DE SANTANA;142
.....  BROCHIER;32
.....  TABAI;40
.....  MARATA;15
.....  SAO SEBASTIAO DO CAI;328
.....  SALVADOR DO SUL;61
.....  HARMONIA;59
.....  PARECI NOVO;36
.....  SAO JOSE DO SUL;14
.....  ESTEIO;1119
.....  NOVA SANTA RITA;362
.....  BARAO;42
43009 Região 09 - Carbonífera/Costa Doce;5008
.....  CAMAQUA;794
.....  BUTIA;237
.....  ARAMBARE;43
.....  BARAO DO TRIUNFO;57
.....  MARIANA PIMENTEL;32
.....  TAPES;185
.....  SERTAO SANTANA;61
.....  GENERAL CAMARA;79
.....  GUAIBA;1348
.....  ARROIO DOS RATOS;182
.....  BARRA DO RIBEIRO;151
.....  SENTINELA DO SUL;52
.....  CHUVISCA;62
.....  MINAS DO LEAO;99
.....  CRISTAL;89
.....  SAO JERONIMO;270
.....  DOM FELICIANO;161
.....  CHARQUEADAS;396
.....  ELDORADO DO SUL;572
.....  CERRO GRANDE DO SUL;138
43010 Região 10 - Capital e Vale do Gravataí;32226
.....  GLORINHA;88
.....  PORTO ALEGRE;19739
.....  CACHOEIRINHA;1932
.....  VIAMAO;3525
.....  GRAVATAI;3590
.....  ALVORADA;3352
43011 Região 11 - Sete Povos das Missões;3378
.....  VITORIA DAS MISSOES;36
.....  UBIRETAMA;17
.....  ENTRE-IJUIS;97
.....  SANTO ANGELO;1054
.....  MATO QUEIMADO;20
.....  ROLADOR;23
.....  SAO LUIZ GONZAGA;424
.....  CAIBATE;76
.....  CERRO LARGO;130
.....  BOSSOROCA;51
.....  SAO BORJA;774
.....  GARRUCHOS;15
.....  SAO NICOLAU;54
.....  SAO MIGUEL DAS MISSOES;92
.....  SALVADOR DAS MISSOES;21
.....  SETE DE SETEMBRO;12
.....  SANTO ANTONIO DAS MISSOES;112
